,,UCP Wirelist Comparison,,,,,,,,,,,
,,,,,,,,,,  = deleted from latest version,,,
Before Workbook:,S:\Legal Drawings\Drawings\H0390_SHELL PERDIDO AC 857 BGC\ELECTRICAL\Archive\A.3\H0390-UCPWiringList_A.3.xlsx,,,,,,,Run Date: 4/27/2026 02:03 PM,,  = added to latest version,,,
After Workbook:,S:\Legal Drawings\Drawings\H0390_SHELL PERDIDO AC 857 BGC\ELECTRICAL\Archive\A.4\H0390-UCPWiringList_A.4.xlsx,,,,,,,,,  = connection attribute changed,,,
,,,,,,,,,,,,,
From,,,,,,,To,,,"
Previous Field Values","
Updated
?","
Stamp",
Device ID,Location,"Cable (W)
 Conductor (SC)
Jumper Clip (JC)",Wire No.,Wire ID,Gauge/Size,"Page/
Zone",Device ID,Location,"Page/
Zone",,,,
AF0210:37,BACK WALL PANEL,SC,021037,WHT,20,18.A6,AP0624:NC2,ORBIT 60^DOOR PANEL,18.A2,,,,
AF0210:38,BACK WALL PANEL,SC,021038,WHT,20,18.B6,AP0625:NC1,ORBIT 60^DOOR PANEL,18.B2,,,,
AF0210:39,BACK WALL PANEL,SC,021039,WHT,20,18.B6,AP0625:NC2,ORBIT 60^DOOR PANEL,18.B2,,,,
AF0210:40,BACK WALL PANEL,SC,021048,WHT,20,18.D6,AP0612:NO,ORBIT 60^DOOR PANEL,18.D2,,,,
AF0213:03,BACK WALL PANEL,SC,021303,WHT,20,18.C6,AP0626:ARM1,ORBIT 60^DOOR PANEL,18.C2,,,,
AF0213:04,BACK WALL PANEL,SC,021304,WHT,20,18.C6,AP0626:ARM2,ORBIT 60^DOOR PANEL,18.C2,,,,
AF0213:38,BACK WALL PANEL,SC,0213038,WHT,20,18.C6,AP0626:NC1,ORBIT 60^DOOR PANEL,18.C2,,,,
AF0213:39,BACK WALL PANEL,SC,021339,WHT,20,18.C6,AP0626:NC2,ORBIT 60^DOOR PANEL,18.C2,,,,
KA0600:11,BACK WALL PANEL,SC,KA060011,WHT,20,18.D4,AP0612:TM,ORBIT 60^DOOR PANEL,18.D2,,,,
KA0600:14,BACK WALL PANEL,SC,KA060014,WHT,20,18.D4,AP0612:COM,ORBIT 60^DOOR PANEL,18.D2,,,,
AF0212:04,BACK WALL PANEL,SC,021204,WHT,20,21.B7,XT0085:7,PANEL A,21.B6,,,,
AF0212:21,BACK WALL PANEL,SC,021221,WHT,20,21.B7,XT0085:8,PANEL A,21.B6,,,,
